token,count,examples
圓鈍先端,8,毛馬棘|爪哇大青|白珠藤
葇荑花序,8,水柯仔|水柳柯|赤楊
黃白色花冠,8,牛奶果|地槐|星蘋果
可食用,8,四照花|石棗|油橄欖
線狀長橢圓形,8,玉山胡頹子|田青|田青草
總狀花序/穗狀花序,8,百日紅|秀柱花|東京漆
剛毛,8,耳藥花|拉哥加樹|紅毛懸鉤子
膜質蒴果,8,克蘭樹|赤血仔|拔子雞油
長披針形葉,8,杏葉石櫟|昆士蘭山龍眼|阿里山灰木
氣孔帶,8,刺松|刺柏|拇木
木質果實,8,枇杷葉山礬|香楓|猢麵包樹
塊根,8,粉葛|葛根|葛藤
四分孢子囊呈十字形分裂,8,輻毛藻|緣乳節藻|脆枝蔽果藻
原產於台灣,8,狹葉櫟|山龍眼|長葉小檗
缺乏詳細生態習性描述,8,黃果豬母乳|菲律賓鐵青樹|阿里山卷耳
生長於潮濕環境,8,小花蓼|小毛氈苔|焊菜
莖光滑,8,野蕎麥(尼泊爾蓼)|紅蓼|扛板歸
藤本植物,8,呂宋青藤|屏東鐵線蓮|恒春青牛膽
耐鹽性,7,九重吹|紅柴|蓮葉桐
刺狀體,7,九重葛|有刺赤蘭|俄氏莿柊
掌脈,7,三年桐|光桐|油桐
五裂花盤,7,三春柳|西湖柳|雨師
中肋明顯,7,千年木|朱竹|朱蕉
長莢果,7,大果油麻藤|血藤|波斯皂莢
五淺裂,7,大葉寒莓|地莓|革葉懸鉤子
無毛葉面,7,大實肉豆蔻|卵果肉豆蔻|刻脈冬青
小漿果,7,小香藤|毛瓜馥木|瓜馥木
紅褐色果實,7,九重吹|天竺|早田氏榕
匍匐性,7,小葉三點金草|小葉山菉豆|羊屎柴
紫紅色莖,7,小葉三點金草|小葉山螞蝗|小葉山菉豆
白色絨毛,7,小葉石楠|木苺|桑葉懸鉤子
痂鱗,7,小葉樹杞|火炭樹|玉山胡頹子
短伏毛,7,山水柳|山苧麻|木苧麻
宿存花萼,7,山茄|玫瑰茄|洛神葵
黃熟果實,7,山桔子|木竹子|枇杷
多數雄蕊,7,山茶葉灰木|平遮那灰木|海桐山礬
灰白色葉背,7,山漆|交讓木|亞力山大椰子
宿存花柱,7,山薔薇|南天竹|野薔薇
三角狀卵形葉,7,山苺|毛萼懸鉤子|蔥葉懸鉤子
卵形花瓣,7,山苺|毛萼懸鉤子|羽萼懸鉤子
側脈多出,7,川上氏櫧|印度苦櫧|東南石櫟
直刺,7,川上氏櫧|吊皮栲|赤校
油點,7,五指柑|五指香櫞|有加利
尾尖頭,7,山肉桂|佐佐木灰木|尾葉灰木
下位子房,7,毛里斯麻|柏拉木|臭萬年
念珠狀莢果,7,毛苦參|刺桐|海南槐樹
線狀披針形托葉,7,毛萼懸鉤子|虎氏懸鉤子|高砂懸鉤子
耐蔭性,7,毛雞屎樹|深紅茵芋|臺灣黃楊
全株有毒,7,水藤|毒魚藤|日日春
卵狀披針形葉形,7,火燄木|幼葉樟|佛竹
三行脈,7,水雞油|朴子樹|花梨木
多年生,7,正坭竹|吊絲麻|甜竹
長卵形,7,玉蕊|石朴|波羅蜜樹
狹橢圓形葉,7,白丁花|白馬骨|路邊金
頭花,7,白合歡|福州杉|藤相思樹
粗齒緣,7,石朴|朴樹|沙朴
闊卵形葉形,7,印度茴麻|圓葉鑽地風|綠島鐵莧
